,word,sentiment,value
0,aback,anticipation,0
1,aback,disgust,0
2,aback,fear,0
3,aback,joy,0
4,aback,negative,0
5,aback,positive,0
6,aback,sadness,0
7,aback,surprise,0
8,aback,trust,0
9,abacus,anger,0
10,abacus,anticipation,0
11,abacus,disgust,0
12,abacus,fear,0
13,abacus,joy,0
14,abacus,negative,0
15,abacus,positive,0
16,abacus,sadness,0
17,abacus,surprise,0
18,abacus,trust,1
19,abandon,anger,0
20,abandon,anticipation,0
21,abandon,disgust,0
22,abandon,fear,1
23,abandon,joy,0
24,abandon,negative,1
25,abandon,positive,0
26,abandon,sadness,1
27,abandon,surprise,0
28,abandon,trust,0
29,abandoned,anger,1
30,abandoned,anticipation,0
31,abandoned,disgust,0
32,abandoned,fear,1
33,abandoned,joy,0
34,abandoned,negative,1
35,abandoned,positive,0
36,abandoned,sadness,1
37,abandoned,surprise,0
38,abandoned,trust,0
39,abandonment,anger,1
40,abandonment,anticipation,0
41,abandonment,disgust,0
42,abandonment,fear,1
43,abandonment,joy,0
44,abandonment,negative,1
45,abandonment,positive,0
46,abandonment,sadness,1
47,abandonment,surprise,1
48,abandonment,trust,0
49,abate,anger,0
50,abate,anticipation,0
51,abate,disgust,0
52,abate,fear,0
53,abate,joy,0
54,abate,negative,0
55,abate,positive,0
56,abate,sadness,0
57,abate,surprise,0
58,abate,trust,0
59,abatement,anger,0
60,abatement,anticipation,0
61,abatement,disgust,0
62,abatement,fear,0
63,abatement,joy,0
64,abatement,negative,0
65,abatement,positive,0
66,abatement,sadness,0
67,abatement,surprise,0
68,abatement,trust,0
69,abba,anger,0
70,abba,anticipation,0
71,abba,disgust,0
72,abba,fear,0
73,abba,joy,0
74,abba,negative,0
75,abba,positive,1
76,abba,sadness,0
77,abba,surprise,0
78,abba,trust,0
79,abbot,anger,0
80,abbot,anticipation,0
81,abbot,disgust,0
82,abbot,fear,0
83,abbot,joy,0
84,abbot,negative,0
85,abbot,positive,0
86,abbot,sadness,0
87,abbot,surprise,0
88,abbot,trust,1
89,abbreviate,anger,0
90,abbreviate,anticipation,0
91,abbreviate,disgust,0
92,abbreviate,fear,0
93,abbreviate,joy,0
94,abbreviate,negative,0
95,abbreviate,positive,0
96,abbreviate,sadness,0
97,abbreviate,surprise,0
98,abbreviate,trust,0
99,abbreviation,anger,0
100,abbreviation,anticipation,0
101,abbreviation,disgust,0
102,abbreviation,fear,0
103,abbreviation,joy,0
104,abbreviation,negative,0
105,abbreviation,positive,0
106,abbreviation,sadness,0
107,abbreviation,surprise,0
108,abbreviation,trust,0
109,abdomen,anger,0
110,abdomen,anticipation,0
111,abdomen,disgust,0
112,abdomen,fear,0
